unique_internal_model_code,age_range,filtration_efficiency_percent,breathability_pascals,width_mm,height_mm,filter_type,style,strap_type,color,where_to_buy_url_1,where_to_buy_url_2,where_to_buy_url_3,image_url,filtration_efficiency_source,filtration_efficiency_notes,breathability_pascals_source,breathability_pascals_notes,uimc_lower,initial_cost_us_dollars,depth_mm,mass_grams
Moldex 7000 Large for Med/High nose,,,,133.35,133.35,N95,Elastomeric,Headstrap,,https://www.moldex.com/product/7000-series-half-mask-respirator/,,,"https://static.wixstatic.com/media/090778_3251aea1990b42c989155bcaa247f7e7~mv2.jpg/v1/fill/w_599,h_599,al_c,lg_1,q_80,enc_auto/090778_3251aea1990b42c989155bcaa247f7e7~mv2.jpg",,,,,,30,45.72,99
Moldex 8001 Small for Med/Low nose,,,,127.0,114.3,N95,Elastomeric,Headstrap,,,,,"https://static.wixstatic.com/media/090778_39ad67687e0643039dcafcaeedad4bb0~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_39ad67687e0643039dcafcaeedad4bb0~mv2.jpg",,,,,,50,48.26,90
Moldex 8002 Medium for Medium nose,,,,127.0,127.0,N95,Elastomeric,Headstrap,,,,,"https://static.wixstatic.com/media/090778_bbb2b32f7f3247b7a9bc58e7a76fb132~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_bbb2b32f7f3247b7a9bc58e7a76fb132~mv2.jpg",,,,,,40,48.26,92
MSA Advantage 290 Small for Med/High nose,,,,127.0,120.64999999999999,P95,Elastomeric,Headstrap,,https://www.amazon.com/MSA-815696-Advantage-Half-Mask-Respirator/dp/B013HM71SQ?th=1,,,"https://static.wixstatic.com/media/090778_f0f006f13069485ebe0157a0ae95097e~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_f0f006f13069485ebe0157a0ae95097e~mv2.jpg",,,,,,25,43.18,82
MSA Advantage 290 Medium for Med/High nose,,,,133.35,127.0,P95,Elastomeric,Headstrap,,https://www.amazon.com/MSA-815696-Advantage-Half-Mask-Respirator/dp/B013HM71SQ?th=1,,,"https://static.wixstatic.com/media/090778_d24bfb121c8e4adf8554c91df55f250f~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_d24bfb121c8e4adf8554c91df55f250f~mv2.jpg",,,,,,25,43.18,85
MSA Advantage 290 Large for Med/High nose,,,,146.04999999999998,133.35,P95,Elastomeric,Headstrap,,https://www.amazon.com/MSA-815696-Advantage-Half-Mask-Respirator/dp/B013HM71SQ?th=1,,,"https://static.wixstatic.com/media/090778_6a7b79f30c10482f954c49e30eb8f0ff~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_6a7b79f30c10482f954c49e30eb8f0ff~mv2.jpg",,,,,,25,50.8,92
O2 Curve High for Med/High nose,,,,95.25,95.25,PM2.5,Elastomeric,Headstrap,,,,,"https://static.wixstatic.com/media/090778_e5b82618e5304ac687a11d6bb5b64155~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_e5b82618e5304ac687a11d6bb5b64155~mv2.jpg",,,,,,40,38.099999999999994,73
O2 Curve Low for Med/Low nose,,,,95.25,95.25,PM2.5,Elastomeric,Headstrap,,,,,"https://static.wixstatic.com/media/090778_d9f4d1e533ab483c95a68df50ca522c7~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_d9f4d1e533ab483c95a68df50ca522c7~mv2.jpg",,,,,,,38.099999999999994,
Omnimask Omnimask One Size for Med/High nose,,,,139.7,127.0,E100,Elastomeric,Headstrap,,,,,https://cdn.shopify.com/s/files/1/0584/8036/1670/t/4/assets/pf-9ffba5f7--Image-8.jpg?v=1629253070,,,,,,100,43.18,
Scott Xcel Small for Medium nose,,,,107.94999999999999,101.6,N95,Elastomeric,Headstrap,,https://5dsupply.com/products/scott-xcel-half-mask-respirator,,,"https://static.wixstatic.com/media/090778_1974e15dbeb544a6816e2375c08fc6e0~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_1974e15dbeb544a6816e2375c08fc6e0~mv2.jpg",,,,,,15,48.26,128
stealth Air Light One Size for High nose,,,,107.94999999999999,133.35,P99,Elastomeric,Headstrap,,,,,,,,,,,20,50.8,
Trend Stealth S/M for Medium nose,,,,114.3,133.35,N100,Elastomeric,Headstrap,,https://www.amazon.com/dp/B0784Z8P3D?,,,"https://static.wixstatic.com/media/090778_78852e0819c147b99b1ee1c0898f0c01~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_78852e0819c147b99b1ee1c0898f0c01~mv2.jpg",,,,,,13,22.86,139
Trend Stealth M/L for Medium nose,,,,114.3,139.7,N100,Elastomeric,Headstrap,,https://www.amazon.com/dp/B0784Z8P3D?,,,"https://static.wixstatic.com/media/090778_84dbe930f9dc4901bbb28a01cf264b5b~mv2.jpg/v1/fill/w_600,h_600,al_c,lg_1,q_80,enc_auto/090778_84dbe930f9dc4901bbb28a01cf264b5b~mv2.jpg",,,,,,13,38.099999999999994,152
